sl_no,is_code,description,download_link
1445,IS 3034:1993,Fire Safety of Industrial Buildings: Electrical Generating and Distributing Stations – Code of Practice,https://archive.org/download/gov.in.is.3034.1993/is.3034.1993.pdf
1446,IS 3058:1990,Code of practice for fire safety of industrial buildings: Viscose rayon yarn and/or staple fibre plants,https://archive.org/download/gov.in.is.3058.1990/is.3058.1990.pdf
1447,IS 3079:1990,Code of practice for fire safety of industrial buildings: Cotton textile mills,https://archive.org/download/gov.in.is.3079.1990/is.3079.1990.pdf
1448,IS 3594:1991,"Code of practice for fire safety of industrial buildings: General storage and warehousing, including cold storage",https://archive.org/download/gov.in.is.3594.1991/is.3594.1991.pdf
1449,IS 3595:2002,Code of Practice for Fire Safety of Industrial Buildings: Coal Pulverisers and Associated Equipments,https://archive.org/download/gov.in.is.3595.2002/is.3595.2002.pdf
1450,IS 3614-1:1966,"Fire-check Doors, Part I: Plate, Metal Covered and Rolling Type",https://archive.org/download/gov.in.is.3614.1.1966/is.3614.1.1966.pdf
1451,IS 3614-2:1992,Metallic and non-metallic fire check doors – Resistance test and performance criteria,https://archive.org/download/gov.in.is.3614.2.1992/is.3614.2.1992.pdf
1452,IS 3808:1979,Method of test for non-combustibility of building materials,https://archive.org/download/gov.in.is.3808.1979/is.3808.1979.pdf
1453,IS 3809:1979,Fire resistance test for structures,https://archive.org/download/gov.in.is.3809.1979/is.3809.1979.pdf
1454,IS 3836:2000,Fire Safety of Industrial Buildings – Jute Mills – Code of Practice,https://archive.org/download/gov.in.is.3836.2000/is.3836.2000.pdf
1455,IS 4226:1988,Code of practice for fire safety of industrial buildings: Aluminium/Magnesium powder factories,https://archive.org/download/gov.in.is.4226.1988/is.4226.1988.pdf
1456,IS 4886:1991,Code of practice for fire safety of industrial buildings: Tea factories,https://archive.org/download/gov.in.is.4886.1991/is.4886.1991.pdf
1457,IS 6329:2000,Code of Practice for Fire Safety of Industrial Buildings – Saw Mills and Wood Works,https://archive.org/download/gov.in.is.6329.2000/is.6329.2000.pdf
121,IS 800:2007,General Construction In Steel – Code of Practice,https://archive.org/download/gov.in.is.800.2007/is.800.2007.pdf
122,IS 801:1975,Code of Practice for Use of Cold-Formed Light Gauge Steel Structural Members In General Building Construction,https://archive.org/download/gov.in.is.801.1975/is.801.1975.pdf
123,IS 802-1-1:1995,"Code of Practice for Use of Structural Steel In Overhead Transmission Line Towers, Part 1 Materials,Loads and Permissible Stresses, Section 1: Materials and Loads",https://archive.org/download/gov.in.is.802.1.1.1995/is.802.1.1.1995.pdf
124,IS 802-1-2:1992,"Code of Practice for Use of Structural Steel In Overhead Transmission Line Towers, Part 1: Material,Loads and Permissible Stress, Section 2: Permissible Stress",https://archive.org/download/gov.in.is.802.1.2.1992/is.802.1.2.1992.pdf
125,IS 802-2:1978,"Code of Practice for Use of Structural Steel In Overhead Transmission Line Towers, Part 1: Materials,Loads and Permissible Stresses, Section 1: Materials and Loads",https://archive.org/download/gov.in.is.802.2.1978/is.802.2.1978.pdf
126,IS 802-3:1978,"Code of Practice for Use of Structural Steel In Overhead Transmission Line Towers, Part 3 Testing",https://archive.org/download/gov.in.is.802.3.1978/is.802.3.1978.pdf
127,IS 803:1946,"Code of Practice for Use of Structural Steel in Overhead Transmission Line Towers, Part 2: Fabrication, Galvanising,Inspection and Packing",https://archive.org/download/gov.in.is.803.1976/is.803.1976.pdf
128,IS 804:1967,Rectangular Pressed Steel Tanks –,https://archive.org/download/gov.in.is.804.1967/is.804.1967.pdf
129,IS 805:1968,Code of Practice for Use of Steel in Gravity Water Tanks,https://archive.org/download/gov.in.is.805.1968/is.805.1968.pdf
130,IS 806:1968,Code of Practice for Use of Steel Tubes In General Building Construction,https://archive.org/download/gov.in.is.806.1968/is.806.1968.pdf
131,IS 808:1989,"Code of Practice for Design, Fabrication and Erection of Vertical Mild Steel Cylindrical Welded Oil Storage Tanks",https://archive.org/download/gov.in.is.808.1989/is.808.1989.pdf
132,IS 811:1987,Cold Formed Light Gauge Structural Steel Sections –,https://archive.org/download/gov.in.is.811.1987/is.811.1987.pdf
133,IS 1173:1978,Hot rolled and slit steel tee bars,https://archive.org/download/gov.in.is.1173.1978/is.1173.1978.pdf
134,IS 1252:1991,Hot-rolled steel bulb angles: Dimensions,https://archive.org/download/gov.in.is.1252.1991/is.1252.1991.pdf
135,IS 1730:1989,Hot-rolled and slit steel tee bars,https://archive.org/download/gov.in.is.1730.1989/is.1730.1989.pdf
136,IS 1732:1989,Steel Bars are round and square for structural and general engineering purposes,https://archive.org/download/gov.in.is.1732.1989/is.1732.1989.pdf
137,IS 1852:1985,"Dimensions for steel plates, sheets, strips and flats for general engineering purposes",https://archive.org/download/gov.in.is.1852.1985/is.1852.1985.pdf
138,IS 1863:1979,rolled steel bulb flats,https://archive.org/download/gov.in.is.1863.1979/is.1863.1979.pdf
139,IS 1864:1979,Hot-rolled steel L-sections for shipbuilding,https://archive.org/download/gov.in.is.1864.1979/is.1864.1979.pdf
140,IS 2314:1986,Steel Sheet Piling Sections,https://archive.org/download/gov.in.is.2314.1986/is.2314.1986.pdf
141,IS 2713-1to3:1980,Tubular Steel Poles for Overhead Power Lines,https://archive.org/download/gov.in.is.2713.1-3.1980/is.2713.1-3.1980.pdf
142,IS 2750:1964,Steel Scaffoldings,https://archive.org/download/gov.in.is.2750.1964/is.2750.1964.pdf
143,IS 3443:1980,Crane rail sections,https://archive.org/download/gov.in.is.3443.1980/is.3443.1980.pdf
144,IS 3908:1986,Aluminium equal leg angles,https://archive.org/download/gov.in.is.3908.1986/is.3908.1986.pdf
145,IS 3909:1986,Aluminium Unequal Leg Angles,https://archive.org/download/gov.in.is.3909.1986/is.3909.1986.pdf
146,IS 3921:1985,Aluminium channels,https://archive.org/download/gov.in.is.3921.1985/is.3921.1985.pdf
147,IS 3954:1991,Hot Rolled Steel Channel Sections for General Engineering Purposes – Dimensions,https://archive.org/download/gov.in.is.3954.1991/is.3954.1991.pdf
148,IS 3964:1980,Light rails,https://archive.org/download/gov.in.is.3964.1980/is.3964.1980.pdf
149,IS 4000:1992,Code of practice for high-strength bolts in steel structures,https://archive.org/download/gov.in.is.4000.1992/is.4000.1992.pdf
150,IS 4014-1:1967,"Code of practice for steel tubular scaffolding, Part 1: Definitions and materials",https://archive.org/download/gov.in.is.4014.1.1967/is.4014.1.1967.pdf
151,IS 5384:1985,Rolling and cutting tolerances for hot-rolled steel products,https://archive.org/download/gov.in.is.5384.1985/is.5384.1985.pdf
152,IS 5488:1987,Dimensions and dimensional tolerances for hot rolled steel plates for the ship’s hull structure,https://archive.org/download/gov.in.is.5488.1987/is.5488.1987.pdf
153,IS 6445:1985,Aluminium tee-sections,https://archive.org/download/gov.in.is.6445.1985/is.6445.1985.pdf
154,IS 6449:1987,Aluminium bulb angles for marine application,https://archive.org/download/gov.in.is.6449.1987/is.6449.1987.pdf
155,IS 6475:1987,Aluminium tee bars for marine application,https://archive.org/download/gov.in.is.6475.1987/is.6475.1987.pdf
156,IS 6476:1987,Aluminium bulb plates for marine application,https://archive.org/download/gov.in.is.6476.1987/is.6476.1987.pdf
157,IS 6533-1:1989,"Code of practice for design and construction of steel chimneys, Part 1: Mechanical aspects",https://archive.org/download/gov.in.is.6533.1.1989/is.6533.1.1989.pdf
158,IS 6533-2:1989,"Code of practice for design and construction of steel chimneys, Part 2: Structural aspects",https://archive.org/download/gov.in.is.6533.2.1989/is.6533.2.1989.pdf
159,IS 7205:1974,Safety code for the erection of Structural Steelwork,https://archive.org/download/gov.in.is.7205.1974/is.7205.1974.pdf
160,IS 7215:1974,Dimensions and dimensional tolerances for hot-rolled steel plates for the ship’s hull structure,https://archive.org/download/gov.in.is.7215.1974/is.7215.1974.pdf
161,IS 7452:1990,"Specification for hot-rolled steel sections for doors, windows and ventilators",https://archive.org/download/gov.in.is.7452.1990/is.7452.1990.pdf
162,IS 8081:1976,slotted sections,https://archive.org/download/gov.in.is.8081.1976/is.8081.1976.pdf
163,IS 8147:1976,Tolerances for the fabrication of steel structures,https://archive.org/download/gov.in.is.8147.1976/is.8147.1976.pdf
164,IS 8640:1977,Code of Practice for the Use of Aluminium Alloys in Structures,https://archive.org/download/gov.in.is.8640.1977/is.8640.1977.pdf
165,IS 9178-1:1979,"Criteria for Design of Steel Bins for Storage of Bulk Materials, Part 1: General Requirements and Assessment of Loads",https://archive.org/download/gov.in.is.9178.1.1979/is.9178.1.1979.pdf
166,IS 9178-2:1979,"Criteria for Design of Steel Bins for Storage of Bulk Materials, Part 2: Design Criteria",https://archive.org/download/gov.in.is.9178.2.1979/is.9178.2.1979.pdf
167,IS 9178-3:1980,"Criteria for Design of Steel Bins for Storage of Bulk Materials, Part 3: Bins Designed for Mass Flow and Funnel Flow",https://archive.org/download/gov.in.is.9178.3.1980/is.9178.3.1980.pdf
168,IS 9964-1:1981,"Recommendations for maintenance and operation of petroleum storage tanks, Part 1:Preparation of tanks for safe entry and work",https://archive.org/download/gov.in.is.9964.1.1981/is.9964.1.1981.pdf
169,IS 9964-2:1981,"Recommendations for Maintenance and Operation of Petroleum Storage Tanks, Part 2: Inspection",https://archive.org/download/gov.in.is.9964.2.1981/is.9964.2.1981.pdf
170,IS 10182-1:1982,"Dimensions and Tolerances for Hot Rolled Track Shoe Sections, Part I: Section TS-L1",https://archive.org/download/gov.in.is.10182.1.1982/is.10182.1.1982.pdf
171,IS 10182-2:1985,"Dimensions and tolerances for hot-rolled track shoe sections, Part 2: Section TS-H1",https://archive.org/download/gov.in.is.10182.2.1985/is.10182.2.1985.pdf
172,IS 10787:1992,"Code of practice for design, fabrication, testing and installation of underground/above-ground horizontalcylindrical storage tanks for petroleum products",https://archive.org/download/gov.in.is.10987.1992/is.10987.1992.pdf
173,IS 12778:2004,"Hot Rolled Parallel Flange Steel Sections for Beams, Columns and Bearing Piles – Dimensions and Section Properties",https://archive.org/download/gov.in.is.12778.2004/is.12778.2004.pdf
174,IS 12779:1989,ISI Handbook for Structural Engineers -Part 1 Structural Steel Sections,https://archive.org/download/gov.in.is.12779.1989/is.12779.1989.pdf
175,IS 12843:1989,Tolerances for the erection of steel structures,https://archive.org/download/gov.in.is.12843.1989/is.12843.1989.pdf
176,IS 15663-1:2006,"Design and installation of natural gas pipelines – Code of Practice, Part 1: Laying of pipelines",https://archive.org/download/gov.in.is.15663.1.2006/is.15663.1.2006.pdf
177,IS 15663-2:2006,"Design and installation of natural gas pipelines – Code of Practice, Part 2: Laying of pipelines in crossings",https://archive.org/download/gov.in.is.15663.2.2006/is.15663.2.2006.pdf
178,IS 15663-3:2006,Design and installation of natural gas pipelines – Code of Practice: Part 3 Pre-commissioning and commissioning of pipelines,https://archive.org/download/gov.in.is.15663.3.2006/is.15663.3.2006.pdf
179,SP 6-1:1964,ISI Handbook for Structural Engineers -Part 4 Use of High Strength Friction Grip Bolts,https://archive.org/download/gov.in.is.sp.6.1.1964/is.sp.6.1.1964.pdf
180,SP 6-2:1962,ISI Handbook for Structural Engineers -Part 3 Steel Columns and Struts,https://archive.org/download/gov.in.is.sp.6.2.1962/is.sp.6.2.1962.pdf
181,SP 6-3:1962,ISI Handbook for Structural Engineers -Part 2 Steel Beams and Plate Girders,https://archive.org/download/gov.in.is.sp.6.3.1962/is.sp.6.3.1962.pdf
182,SP 6-4:1969,"Handbook for Structural Engineers -Part 5 Cold-Formed, Light-Gauge Steel Structures",https://archive.org/download/gov.in.is.sp.6.4.1969/is.sp.6.4.1969.pdf
183,SP 6-5:1980,Handbook for Structural Engineers -Part 6 Application of Plastic Theory In Design of Steel Structures,https://archive.org/download/gov.in.is.sp.6.5.1980/is.sp.6.5.1980.pdf
184,SP 6-6:1972,Handbook for Structural Engineers -Part 7: Simple Welded Girders,https://archive.org/download/gov.in.is.sp.6.6.1972/is.sp.6.6.1972.pdf
185,SP 6-7:1972,Recommendations for dimensional parameters for an industrial building,https://archive.org/download/gov.in.is.sp.6.7.1972/is.sp.6.7.1972.pdf
1259,IS 1172:1993,"Code of Basic Requirements for  Water Supply, Drainage and Sanitation",https://archive.org/download/gov.in.is.1172.1993/is.1172.1993.pdf
1260,IS 1742:1983,Code of practice for building drainage,https://archive.org/download/gov.in.is.1742.1983/is.1742.1983.pdf
1261,IS 2064:1993,"Code of practice for the selection, installation and maintenance of sanitary appliances",https://archive.org/download/gov.in.is.2064.1993/is.2064.1993.pdf
1262,IS 2065:1983,Code of practice for  water supply in buildings,https://archive.org/download/gov.in.is.2065.1983/is.2065.1983.pdf
1263,IS 2470-1:1985,"Code of practice for installation of septic tanks, Part I: design, criteria and construction",https://archive.org/download/gov.in.is.2470.1.1985/is.2470.1.1985.pdf
1264,IS 2470-2:1985,"Code of practice for installation of septic tanks, Part II: Secondary treatment and disposal of septic tank effluent",https://archive.org/download/gov.in.is.2470.2.1985/is.2470.2.1985.pdf
1265,IS 3114:1994,Code of practice for laying cast iron pipes,https://archive.org/download/gov.in.is.3114.1994/is.3114.1994.pdf
1266,IS 4111-1:1986,"Code of practice for ancillary structures in the sewerage system, Part I: Manholes",https://archive.org/download/gov.in.is.4111.1.1986/is.4111.1.1986.pdf
1267,IS 4111-2:1985,"Code of practice for ancillary structures in the sewerage system, Part II: Flushing tanks",https://archive.org/download/gov.in.is.4111.2.1985/is.4111.2.1985.pdf
1268,IS 4111-3:1985,"Code of practice for ancillary structures in the sewerage system, Part III: Inverted syphon",https://archive.org/download/gov.in.is.4111.3.1985/is.4111.3.1985.pdf
1269,IS 4111-4:1968,"Code of Practice for Ancillary Structures in Sewerage System, Part IV: Pumping Stations and Pumping Mains (Rising mains)",https://archive.org/download/gov.in.is.4111.4.1968/is.4111.4.1968.pdf
1270,IS 4111-5:1993,"Code of practice for ancillary structures in the sewerage system, Part 5: Tidal outfalls",https://archive.org/download/gov.in.is.4111.5.1993/is.4111.5.1993.pdf
1271,IS 4127:1983,Code of practice for laying glazed stoneware pipes,https://archive.org/download/gov.in.is.4127.1983/is.4127.1983.pdf
1272,IS 5329:1983,Code of practice for sanitary pipe work above ground for buildings,https://archive.org/download/gov.in.is.5329.1983/is.5329.1983.pdf
1273,IS 5611:1987,Code of Practice for Construction of Waste Stabilisation Ponds (Facultative Type),https://archive.org/download/gov.law.is.5611.1987/is.5611.1987.pdf
1274,IS 5822:1994,Code of Practice for Laying of Electrically Welded Steel Pipes for Water Supply,https://archive.org/download/gov.in.is.5822.1994/is.5822.1994.pdf
1275,IS 6279:1971,equipment for grit removal devices,https://archive.org/download/gov.in.is.6279.1971/is.6279.1971.pdf
1276,IS 6280:1971,sewage screens,https://archive.org/download/gov.in.is.6280.1971/is.6280.1971.pdf
1277,IS 6295:1986,Code of practice for water supply and drainage in high altitudes and sub-zero temperature regions,https://archive.org/download/gov.in.is.6295.1986/is.6295.1986.pdf
1278,IS 6924:1973,Code of Practice for the Construction of Refuse Chutes in Multi-storeyed Buildings,https://archive.org/download/gov.in.is.6924.1973/is.6924.1973.pdf
1701,IS 4651-1:1974,"Code of practice for planning and design of ports and harbours, Part 1: Site investigation",https://archive.org/download/gov.in.is.4651.1.1974/is.4651.1.1974.pdf
1702,IS 4651-2:1989,"Code of practice for planning and design of ports and harbours, Part 2: Earth pressure",https://archive.org/download/gov.in.is.4651.2.1989/is.4651.2.1989.pdf
1703,IS 4651-3:1974,"Code of Practice for Planning and Design of Ports and Harbours, Part III: Loading",https://archive.org/download/gov.in.is.4651.3.1974/is.4651.3.1974.pdf
1704,IS 4651-4:1989,"Code of practice for planning and design of ports and harbours, Part 4: General design consideration",https://archive.org/download/gov.in.is.4651.4.1989/is.4651.4.1989.pdf
1705,IS 4651-5:1980,"Code of practice for planning and design of ports and harbours, Part 5: Layout and functional requirements",https://archive.org/download/gov.in.is.4651.5.1980/is.4651.5.1980.pdf
1706,IS 7314:1974,Glossary of terms relating to port and harbour engineering,https://archive.org/download/gov.in.is.7314.1974/is.7314.1974.pdf
1707,IS 9527-1:1981,"Code of practice for design and construction of port and harbour structures, Part 1:  Concrete monoliths",https://law.resource.org/pub/in/bis/S03/is.9527.1.1981.pdf
1708,IS 9527-3:1983,"Code of practice for design and construction of port and harbour structures, Part 3: Sheet pile walls",https://archive.org/download/gov.in.is.9527.3.1983/is.9527.3.1983.pdf
1709,IS 9527-4:1980,"Code of practice for design and construction of port and harbour structures, Part 4: Cellular sheet pile structures",https://archive.org/download/gov.in.is.9527.4.1980/is.9527.4.1980.pdf
1710,IS 9527-6:1989,"Code of practice for design andconstructionof port and harbour structures, Part 6: Block work",https://archive.org/download/gov.in.is.9527.6.1989/is.9527.6.1989.pdf
1711,IS 10020-4:1981,"Recommendations for design and construction of port and harbour components, Part 4: Slipways",https://archive.org/download/gov.in.is.10020.4.1981/is.10020.4.1981.pdf
518,IRC SP 014:1980,A Manual for the Application of the Critical Path Method to Highway Projects in India,https://law.resource.org/pub/in/bis/irc/irc.gov.in.sp.014.1980.pdf
408,IRC 046:1972,A Policy on Roadside Advertisements (First Revision),https://law.resource.org/pub/in/bis/irc/irc.gov.in.046.1972.pdf
565,IRC SP 060:2002,An Approach Document for Assessment of the Remaining Life of Concrete Bridges,https://law.resource.org/pub/in/bis/irc/irc.gov.in.sp.060.2002.pdf
566,IRC SP 061:2004,An Approach Document on Whole Life Costing for Bridges in India,https://law.resource.org/pub/in/bis/irc/irc.gov.in.sp.061.2004.pdf
629,IRC SP 110:2017,Application of Intelligent Transport System for Urban Roads,https://law.resource.org/pub/in/bis/irc/irc.gov.in.sp.110.2017.pdf
556,IRC SP 052:1999,Bridge Inspector Reference Manual,https://law.resource.org/pub/in/bis/irc/irc.gov.in.sp.052.1999.pdf
513,IRC SP 004:1965,Bridge Loadings Around The World,https://law.resource.org/pub/in/bis/irc/irc.gov.in.sp.004.1966.pdf
504,IRC 124:2017,Bus Rapid Transit (BRT) Design Guidelines for Indian Cities,https://law.resource.org/pub/in/bis/irc/irc.gov.in.124.2017.pdf
630,IRC SP 111:2017,Capacity Building of Road Agencies In Charge of Implementation of Road Projects in Urban Areas,https://law.resource.org/pub/in/bis/irc/irc.gov.in.sp.111.2017.pdf
491,IRC 112:2011,Code of Practice for Concrete Road Bridges,https://law.resource.org/pub/in/bis/irc/irc.gov.in.112.2011.pdf
492,IRC 112:2020,Code of Practice for Concrete Road Bridges,https://law.resource.org/pub/in/bis/irc/irc.gov.in.112.2020.pdf
373,IRC 015:2017,Code of Practice for Construction of Jointed Plain Concrete Pavements (Fifth Revision),https://law.resource.org/pub/in/bis/irc/irc.gov.in.015.2017.pdf
453,IRC 084:1983,Code of Practice for Curing of Cement Concrete Pavements,https://law.resource.org/pub/in/bis/irc/irc.gov.in.084.1983.pdf
445,IRC 082:2015,Code of Practice for Maintenance of Bituminous Road Surfaces (First Revision) (without CD),https://law.resource.org/pub/in/bis/irc/irc.gov.in.082.2015.pdf
444,IRC 082:1982,Code of Practice for Maintenance of Bituminous Surfaces of Highways,https://law.resource.org/pub/in/bis/irc/irc.gov.in.082.1982.pdf
395,IRC 035:2015,Code of Practice for Road Markings (Second Revision),https://law.resource.org/pub/in/bis/irc/irc.gov.in.035.2015.pdf
429,IRC 067:2012,Code of Practice for Road Signs (Third Revision),https://law.resource.org/pub/in/bis/irc/irc.gov.in.067.2012.pdf
377,IRC 018:1995,Criteria for Prestressed Concrete Road Bridges (Post-Tensioned Concrete) (Second Revision),https://civilpracticalknowledge.com/wp-content/uploads/2022/12/IRC-018-1985-PCRB-civilpracticalknowledge.pdf
378,IRC 018:2000,Design Criteria for Prestressed Concrete Road Bridges (Post-Tensioned Concrete) (Third Revision),https://law.resource.org/pub/in/bis/irc/irc.gov.in.018.2000.pdf
360,IRC 003:1983,Dimensions and Weights of Road Design Vehicles,https://law.resource.org/pub/in/bis/irc/irc.gov.in.003.1983.pdf
1962,IS 432-1:1982,"Mild Steel and Medium Tensile Steel Bars and Hard-Drawn Steel Wire for  Concrete Reinforcement, Part 1: Mild Steel and Medium Tensile Steel Bars",https://archive.org/download/gov.in.is.432.1.1982/is.432.1.1982.pdf
1963,IS 432-2:1982,"Mild Steel and Medium Tensile Steel Bars and Hard-Drawn Steel Wire for Concrete Reinforcement, Part 2: Hard-Drawn Steel Wire",https://law.resource.org/pub/in/bis/S03/is.432.2.1982.pdf
1964,IS 1566:1982,hard-drawn steel wire fabric for  concrete reinforcement,https://archive.org/download/gov.in.is.1566.1982/is.1566.1982.pdf
1965,IS 1785-1:1983,"plain hard-drawn steel wire for prestressed concrete, Part 1: Cold-drawn stress-relieved wire",https://archive.org/download/gov.in.is.1785.1.1983/is.1785.1.1983.pdf
1966,IS 1785-2:1983,"plain hard-drawn steel wire for prestressed concrete, Part 2: As the drawn wire",https://archive.org/download/gov.in.is.1785.2.1983/is.1785.2.1983.pdf
1967,IS 1786:2008,High-strength deformed steel bars and  wires for concrete reinforcement,https://archive.org/download/gov.in.is.1786.2008/is.1786.2008.pdf
1968,IS 2090:1983,High tensile steel bars are used in prestressed concrete,https://archive.org/download/gov.in.is.2090.1983/is.2090.1983.pdf
1969,IS 6003:2010,INDENTED WIRE FOR PRESTRESSED CONCRETE,https://archive.org/download/gov.in.is.6003.2010/is.6003.2010.pdf
1970,IS 6006:1983,uncoated stress-relieved strand for prestressed concrete,https://archive.org/download/gov.in.is.6006.1983/is.6006.1983.pdf
1971,IS 9417:1989,Recommendations for welding cold-worked bars for reinforced concrete construction,https://archive.org/download/gov.in.is.9417.1989/is.9417.1989.pdf
1972,IS 10790-1:1984,"Methods of sampling of steel for prestressed and reinforced concrete, Part 1: Prestressing steel",https://archive.org/download/gov.in.is.10790.1.1984/is.10790.1.1984.pdf
1973,IS 10790-2:1984,"Methods of sampling of steel for prestressed and reinforced concrete, Part 2: Reinforcing steel",https://archive.org/download/gov.in.is.10790.2.1984/is.10790.2.1984.pdf
1974,IS 13620:1993,Fusion-bonded epoxy-coated reinforcing bars,https://archive.org/download/gov.in.is.13620.1993/is.13620.1993.pdf
1975,IS 14268:1995,Uncoated stress-relieved low relaxation seven-ply strand for prestressed concrete –,https://archive.org/download/gov.in.is.14268.1995/is.14268.1995.pdf
2001,IS 15498:2004,Guidelines for Improving the Cyclonic Resistance of Low-Rise Houses and Other Buildings/Structures,https://archive.org/download/gov.in.is.15498.2004/is.15498.2004.pdf
2002,IS 154991:2004,Guidelines for Survey of Housing and Building Typology in Cyclone Prone Areas for Assessment of Vulnerability of Regions and Post Cyclone Damage Estimation,https://archive.org/download/gov.in.is.15499.2004/is.15499.2004.pdf
336,IS 1003-1:2003,"Timber Panelled and Glazed  Shutters, Part 1:  Door  shutters",https://archive.org/download/gov.in.is.1003.1.2003/is.1003.1.2003.pdf
337,IS 1003-2:1994,"Timber Panelled And Glazed Shutters, Part 2: Windows and Ventilator Shutters",https://archive.org/download/gov.in.is.1003.2.1994/is.1003.2.1994.pdf
338,IS 1038:1983,"Specification For Steel Doors, Windows, and Ventilators",https://archive.org/download/gov.in.is.1038.1983/is.1038.1983.pdf
339,IS 1081:1960,"Code of practice for fixing and glazing of metal (steel and aluminium) doors, windows and ventilators",https://archive.org/download/gov.in.is.1081.1960/is.1081.1960.pdf
340,IS 1361:1978,Specification for steel windows for industrial buildings,https://archive.org/download/gov.in.is.1361.1978/is.1361.1978.pdf
341,IS 1948:1961,"Specification for aluminium doors, windows and ventilators",https://archive.org/download/gov.in.is.1948.1961/is.1948.1961.pdf
342,IS 1949:1961,Specification for Aluminium Windows for Industrial Buildings,https://archive.org/download/gov.in.is.1949.1961/is.1949.1961.pdf
343,IS 2191-1:1983,"Wooden Flush Door Shutters (Cellular and Hollow Core Type), Part 1: Plywood Face Panels",https://archive.org/download/gov.in.is.2191.1.1983/is.2191.1.1983.pdf
344,IS 2191-2:1983,wooden flush door shutters (cellular and hollow core type): Part 2 Particle board and hardboard face panels,https://archive.org/download/gov.in.is.2191.2.1983/is.2191.2.1983.pdf
345,IS 2202-1:1989,wooden flush door shutters (solid core type): Part 1 Plywood face panels,https://archive.org/download/gov.in.is.2202.1.1999/is.2202.1.1999.pdf
346,IS 2202-2:1983,wooden flush door shutters (solid core type): Part 2 Particle board and hardboard face panels,https://archive.org/download/gov.in.is.2202.2.1983/is.2202.2.1983.pdf
347,IS 4020-1to16:1998,Door Shutters – Methods of Tests,https://archive.org/download/gov.in.is.4020.1-16.1998/is.4020.1-16.1998.pdf
348,IS 4021:1995,"Timber Door, Window and Ventilator Frames",https://archive.org/download/gov.in.is.4021.1995/is.4021.1995.pdf
349,IS 4043:1969,"Recommendations for Symbolic Designation of Direction of Closing and Faces of Doors, Windows and Shutters",https://archive.org/download/gov.in.is.4043.1969/is.4043.1969.pdf
350,IS 4351:2003,Steel Door Frames,https://archive.org/download/gov.in.is.4351.2003/is.4351.2003.pdf
351,IS 4913:1968,"Code of Practice for Selection, Installation and Maintenance of Timber Doors and Windows",https://archive.org/download/gov.in.is.4913.1968/is.4913.1968.pdf
352,IS 6198:1992,"ledged, braced, and battened timber door shutters",https://archive.org/download/gov.in.is.6198.1992/is.6198.1992.pdf
353,IS 6248:1979,Metal Rolling Shutters and Rolling Grills,https://archive.org/download/gov.in.is.6248.1979/is.6248.1979.pdf
354,IS 10428:1983,Glossary of terms relating to doors,https://archive.org/download/gov.in.is.10428.1983/is.10428.1983.pdf
355,IS 10451:1983,steel sliding shutters (top hung type),https://archive.org/download/gov.in.is.10451.1983/is.10451.1983.pdf
1826,IS 962:1989,Code of practice for architectural and building drawings,https://archive.org/download/gov.in.is.962.1989/is.962.1989.pdf
1827,IS 1553:1989,Design of Library Buildings – Recommendations Relating to Its Primary Elements,https://archive.org/download/gov.in.is.1553.1989/is.1553.1989.pdf
1828,IS 2661:1978,mobile library van,https://archive.org/download/gov.in.is.2661.1978/is.2661.1978.pdf
1829,IS 2662:1978,packages for the use of libraries,https://archive.org/download/gov.in.is.2662.1978/is.2662.1978.pdf
1830,IS 2663:1989,Design of buildings for archives – Recommendations relating to their primary elements,https://archive.org/download/gov.in.is.2663.1989/is.2663.1989.pdf
1831,IS 3201:1988,Criteria for design and construction of precast trusses and purlins,https://archive.org/download/gov.in.is.3201.1988/is.3201.1988.pdf
1832,IS 4878:1986,Byelaws for the construction of cinema buildings,https://archive.org/download/gov.in.is.4878.1986/is.4878.1986.pdf
1833,IS 4919:1981,Glossary of terms applicable to landscape and horticulture work,https://archive.org/download/gov.in.is.4919.1981/is.4919.1981.pdf
1834,IS 4993:1983,Glossary of terms relating to modular coordination,https://archive.org/download/gov.in.is.4993.1983/is.4993.1983.pdf
1835,IS 5197:1987,Recommendations for the layout and planning of drawing offices,https://archive.org/download/gov.in.is.5197.1987/is.5197.1987.pdf
1836,IS 6072:1971,autoclaved reinforced cellular  concrete wall slabs,https://archive.org/download/gov.in.is.6072.1971/is.6072.1971.pdf
1837,IS 6073:2006,Autoclaved reinforced cellular concrete floor and roof slabs,https://archive.org/download/gov.in.is.6073.2006/is.6073.2006.pdf
1838,IS 6408-1:1990,"Recommendations for Modular Co-ordination in Building Industry: Tolerances, Part 1: Glossary of Terms",https://archive.org/download/gov.in.is.6408.1.1990/is.6408.1.1990.pdf
1839,IS 6408-2:1992,"Recommendations for modular coordination in the building industry: Tolerances, Part 2: Principles and applications",https://archive.org/download/gov.in.is.6408.2.1992/is.6408.2.1992.pdf
1840,IS 6820:1987,Recommendations for modular coordination in the building industry: Applications,https://archive.org/download/gov.in.is.6408.2.1992/is.6408.2.1992.pdf
1841,IS 7564-1:1974,"Recommendations for co-ordination of dimensions in buildings-Arrangements of building components and assemblies, Part 1: Functional group 1 Structures",https://archive.org/download/gov.in.is.7564.1.1974/is.7564.1.1974.pdf
